date,Price,Open,High,Low,Vol.,Change %
14-05-2024,355.8,350.55,357.25,350.3,10.89M,1.40%
13-05-2024,350.9,355.5,356,346.5,10.69M,-1.29%
10/5/2024,355.5,347.65,356.35,347.55,11.70M,2.73%
9/5/2024,346.05,356.5,358,344.85,9.04M,-2.64%
8/5/2024,355.45,345.2,358.5,345.2,9.60M,1.80%
7/5/2024,349.15,358.25,358.45,346.85,10.03M,-2.14%
6/5/2024,356.8,367.8,368.85,354.4,15.32M,-2.23%
3/5/2024,364.95,372.3,380.4,360.35,26.84M,-1.11%
2/5/2024,369.05,363.2,372.6,363.2,27.89M,1.61%
30-04-2024,363.2,364.95,365.45,359.3,14.57M,0.06%
29-04-2024,363,359.7,363.65,356.95,13.65M,1.97%
26-04-2024,356,360.7,361.4,355,10.99M,-0.89%
25-04-2024,359.2,351,360.6,349.1,19.87M,2.15%
24-04-2024,351.65,349.8,353.15,347.3,11.13M,1.30%
23-04-2024,347.15,346,348.65,344,14.65M,1.24%
22-04-2024,342.9,355,355,341.9,37.38M,-2.18%
19-04-2024,350.55,343.1,352.4,343,12.87M,-0.17%
18-04-2024,351.15,359.55,361.25,349.2,22.97M,-2.25%
16-04-2024,359.25,361,361.95,354.6,15.33M,-0.53%
15-04-2024,361.15,355.5,366,352.8,18.13M,-0.17%
12/4/2024,361.75,362.5,374.5,361,30.92M,-0.21%
10/4/2024,362.5,364.1,368.35,361.35,12.89M,-0.11%
9/4/2024,362.9,365,366.9,360.35,10.01M,-0.17%
8/4/2024,363.5,355.6,366,353.25,11.45M,2.52%
5/4/2024,354.55,356.4,358.2,351.55,11.21M,-0.03%
4/4/2024,354.65,355,362.7,352.65,28.96M,0.97%
3/4/2024,351.25,344.35,354.1,342,21.68M,1.87%
2/4/2024,344.8,343,345.6,340.75,9.75M,0.72%
1/4/2024,342.35,339,344.4,336.15,8.58M,1.95%
28-03-2024,335.8,331.9,340,330.3,19.87M,1.27%
27-03-2024,331.6,332,334.1,326.3,45.21M,0.76%
26-03-2024,329.1,320.1,330.3,320.1,11.21M,1.34%
22-03-2024,324.75,324.5,327.25,321.15,14.71M,-0.08%
21-03-2024,325,317.25,326.35,317,23.37M,3.62%
20-03-2024,313.65,316,317.45,308.3,10.03M,0.06%
19-03-2024,313.45,314.3,317.9,310.1,13.39M,-1.17%
18-03-2024,317.15,317.1,322.9,314.95,13.69M,0.27%
15-03-2024,316.3,322.65,326.05,305.75,43.29M,-1.72%
14-03-2024,321.85,321.05,326.95,316.5,20.86M,-0.20%
13-03-2024,322.5,343.85,344.5,319.5,23.72M,-6.45%
12/3/2024,344.75,348,349.45,342.55,9.64M,-0.92%
11/3/2024,347.95,352.25,353.15,346.7,10.66M,-1.21%
7/3/2024,352.2,352,353.9,349.7,9.17M,0.07%
6/3/2024,351.95,359.45,359.45,345,13.12M,-1.76%
5/3/2024,358.25,354.9,359.95,353.55,15.92M,1.24%
4/3/2024,353.85,348,358.3,345.75,38.08M,3.54%
2/3/2024,341.75,342.15,343,341.2,596.18K,-0.51%
1/3/2024,343.5,335.6,344.35,335,13.03M,2.35%
29-02-2024,335.6,333.3,336,330.6,13.15M,0.69%
28-02-2024,333.3,335.7,336.5,331.8,12.98M,-0.83%
27-02-2024,336.1,336.1,338,334.1,8.88M,-0.44%
26-02-2024,337.6,338,338.5,334.55,7.71M,-0.04%
23-02-2024,337.75,340,340,334.85,9.67M,-0.53%
22-02-2024,339.55,339,340.25,330.6,16.08M,1.03%
21-02-2024,336.1,347,348.05,334.7,17.75M,-2.78%
20-02-2024,345.7,340.6,346.5,337.8,19.34M,2.05%
19-02-2024,338.75,340.4,341.9,337.5,8.50M,0.30%
16-02-2024,337.75,341.9,342.95,336.8,20.31M,-0.44%
15-02-2024,339.25,331,340.9,330.15,21.97M,3.43%
14-02-2024,328,320.9,329.35,318.35,14.09M,2.01%
13-02-2024,321.55,318.55,323.95,315.9,15.43M,1.71%
12/2/2024,316.15,326.15,326.7,314.5,11.71M,-2.69%
9/2/2024,324.9,332.95,335,319.6,18.30M,-1.81%
8/2/2024,330.9,333.95,335.25,328,17.75M,0.06%
7/2/2024,330.7,337.9,337.9,329.65,8.08M,-1.05%
6/2/2024,334.2,336,336,329,12.02M,-0.57%
5/2/2024,336.1,338,341.05,333.05,19.65M,1.08%
2/2/2024,332.5,324,333.7,323.1,32.35M,3.26%
1/2/2024,322,320.05,326.95,317.1,24.02M,1.42%
31-01-2024,317.5,318.55,320,312.6,20.93M,0.65%
30-01-2024,315.45,321.85,323.95,314.5,20.92M,-2.80%
29-01-2024,324.55,317.8,325.75,316.15,24.69M,3.11%
25-01-2024,314.75,310,317.2,309.2,32.53M,1.91%
24-01-2024,308.85,302.95,310.7,298.25,23.92M,2.07%
